cand_id,cand_name,spe_id,spe_nam,ele_type,can_office_state,can_office_dis,can_office,cand_pty_aff,exp_amo,exp_date,agg_amo,sup_opp,pur,pay,file_num,amndt_ind,tran_id,image_num,receipt_dat,fec_election_yr,prev_file_num,dissem_dt
"H2FL20134","Sharief, Barbara","C00633248","314 Action Fund","O","FL","20","H","DEMOCRATIC PARTY","42500","28-OCT-21","42500","S","Non-Contribution Account: Digital Advertising","The Dover Group","1546761","N","VNV4WA2GBN8","202110299468400176","29-OCT-21","2022","","28-OCT-21"
"","Holness, Dale","C90016023","32BJ UNITED AMERICAN DREAM FUND","G","FL","20","H","","23461.42","24-OCT-21","0","S","Design & printing of candidate mailer","Red Horse Strategies","1546592","N","F57.000003","202110269468351627","26-OCT-21","2022","",""
"","Holness, Dale","C90016023","32BJ UNITED AMERICAN DREAM FUND","G","FL","20","H","","24596.65","26-OCT-21","0","S","Design & printing of candidate mailer","Red Horse Strategies","1546651","N","F57.000001","202110279468390606","27-OCT-21","2022","",""
"","Holness, Dale","C90016023","32BJ UNITED AMERICAN DREAM FUND","G","FL","20","H","","15000","26-OCT-21","0","S","Production for radio advertisement","Red Horse Strategies","1546651","N","F57.000002","202110279468390606","27-OCT-21","2022","",""
"","Holness, Dale","C90016023","32BJ UNITED AMERICAN DREAM FUND","G","FL","20","H","","24596.65","25-OCT-21","0","S","Design & printing of candidate mailer","Red Horse Strategies","1546592","N","F57.000004","202110269468351628","26-OCT-21","2022","",""
"","Holness, Dale","C90016023","32BJ UNITED AMERICAN DREAM FUND","G","FL","20","H","","7350","16-OCT-21","0","S","Design & printing of candidate literature","Red Horse Strategies","1546592","N","F57.000002","202110269468351627","26-OCT-21","2022","",""
"","Holness, Dale","C90016023","32BJ UNITED AMERICAN DREAM FUND","G","FL","20","H","","19491.15","16-OCT-21","0","S","Canvas labor","SEIU Local 32BJ","1546592","N","F57.000001","202110269468351627","26-OCT-21","2022","",""
"S2GA00225","WALKER, HERSCHEL","C00789339","34N22, INC.","P","GA","00","S","REPUBLICAN PARTY","77400","23-NOV-21","81400","S","DIGITAL ADVERTISING","STRATEGIC PARTNERS & MEDIA","1550106","N","SE.4104","202111269469524788","26-NOV-21","2022","","26-NOV-21"
"S2GA00225","WALKER, HERSCHEL","C00789339","34N22, INC.","P","GA","00","S","REPUBLICAN PARTY","4000","19-NOV-21","4000","S","PRODUCTION COST: DIGITAL ADS","STRATEGIC PARTNERS & MEDIA","1550106","N","SE.4108","202111269469524788","26-NOV-21","2022","","26-NOV-21"
"S0GA00559","WARNOCK, RAPHAEL","C00789339","34N22, INC.","P","GA","00","S","DEMOCRATIC PARTY","1500","12-JAN-22","50403.07","O","PRODUCTION COST: OUTDOOR ADVERTISING","STRATEGIC PARTNERS & MEDIA, LLC","1557221","N","SE.4140","202201189475018817","18-JAN-22","2022","","17-JAN-22"
"S0GA00559","WARNOCK, RAPHAEL","C00789339","34N22, INC.","P","GA","00","S","DEMOCRATIC PARTY","48903.07","12-JAN-22","48903.07","O","PLACED MEDIA: OUTDOOR ADVERTISING","STRATEGIC PARTNERS & MEDIA, LLC","1557221","N","SE.4139","202201189475018817","18-JAN-22","2022","","17-JAN-22"
"S2AL00145","BRITT, KATIE BOYD","C00782656","ALABAMA CHRISTIAN CONSERVATIVES","P","AL","00","S","REPUBLICAN PARTY","11025","28-DEC-21","64315.55","S","Dev and Cable Ad Buy","OnMessage Inc","1553475","N","SE.4114","202112289474741479","28-DEC-21","2022","","01-JAN-22"
"S2AL00145","BRITT, KATIE BOYD","C00782656","ALABAMA CHRISTIAN CONSERVATIVES","P","AL","00","S","REPUBLICAN PARTY","11025","28-DEC-21","53290.55","S","Dev and Cable Ad Buy","OnMessage Inc","1553475","N","SE.4113","202112289474741479","28-DEC-21","2022","","28-DEC-21"
"S2AL00145","BRITT, KATIE BOYD","C00782656","ALABAMA CHRISTIAN CONSERVATIVES","P","AL","00","S","REPUBLICAN PARTY","42265.55","31-DEC-21","42265.55","S","Independent Expenditure in Periodicals","Virtus Solutions","1554710","N","SE.4108","202201079474885250","07-JAN-22","2022","","05-JAN-22"
"S2AL00145","BRITT, KATIE BOYD","C00782656","ALABAMA CHRISTIAN CONSERVATIVES","P","AL","00","S","REPUBLICAN PARTY","80395","03-JAN-22","80395","S","Cable Ad Production and Placement","OnMessage Inc","1556014","A1","SE.4127","202201139474981952","13-JAN-22","2022","1554451","04-JAN-22"
"S2AL00145","BRITT, KATIE BOYD","C00782656","ALABAMA CHRISTIAN CONSERVATIVES","P","AL","00","S","REPUBLICAN PARTY","50480","14-JAN-22","231580","S","Broadcast Media Ad Buy","OnMessage Inc","1556299","N","SE.4131","202201149474989267","14-JAN-22","2022","","17-JAN-22"
"S2AL00145","BRITT, KATIE BOYD","C00782656","ALABAMA CHRISTIAN CONSERVATIVES","P","AL","00","S","REPUBLICAN PARTY","100705","11-JAN-22","181100","S","Broadcast and Cable Media Ad Buy","OnMessage Inc","1556013","N","SE.4125","202201139474981951","13-JAN-22","2022","","12-JAN-22"
"S2AL00145","BRITT, KATIE BOYD","C00782656","ALABAMA CHRISTIAN CONSERVATIVES","P","AL","00","S","REPUBLICAN PARTY","80395","03-JAN-22","80395","S","Cable Ad Production and Placement","OLEARY, SHANNON","1554451","N","SE.4121","202201059474877035","05-JAN-22","2022","","04-JAN-22"
"S2AL00145","BRITT, KATIE BOYD","C00786152","ALABAMA CONSERVATIVES FUND","P","AL","00","S","REPUBLICAN PARTY","102926","18-NOV-21","741188.06","S","MEDIA PLACEMENT","RED EAGLE MEDIA","1549563","N","SE.4255","202111199468737042","19-NOV-21","2022","","19-NOV-21"
"S2AL00145","BRITT, KATIE BOYD","C00786152","ALABAMA CONSERVATIVES FUND","P","AL","00","S","REPUBLICAN PARTY","47074","19-NOV-21","788262.06","S","MEDIA PLACEMENT","RED EAGLE MEDIA","1549563","N","SE.4257","202111199468737042","19-NOV-21","2022","","20-NOV-21"
"S2AL00145","BRITT, KATIE BOYD","C00786152","ALABAMA CONSERVATIVES FUND","P","AL","00","S","REPUBLICAN PARTY","492084","20-OCT-21","496042.24","S","MEDIA PLACEMENT","RED EAGLE MEDIA","1546417","N","SE.4161","202110239468348396","23-OCT-21","2022","","21-OCT-21"
"S2AL00145","BRITT, KATIE BOYD","C00786152","ALABAMA CONSERVATIVES FUND","P","AL","00","S","REPUBLICAN PARTY","808.24","16-AUG-21","1308.24","S","BILLBOARD","RED EAGLE MEDIA","1546417","N","SE.4154","202110239468348395","23-OCT-21","2022","","18-AUG-21"
